OBJECTID,CSA2010,tpop10,male10,female10,paa17,pwhite17,pasi17,p2more17,ppac17,phisp17,racdiv17,age5_17,age18_17,age24_17,age64_17,age65_17,hhs10,femhhs17,fam17,hhsize10,mhhi17,hh25inc17,hh40inc17,hh60inc17,hh75inc17,hhm7517,hhpov17,hhchpov17,Shape__Area,Shape__Length
31,Madison/East End,6591,3051,3540,87.892580791989,1.36549840691852,0.136549840691852,0.303444090426338,1.36549840691852,8.93642846305568,28.7905298338613,9.10332271279016,20.0273099681383,12.5474131391291,50.1441359429525,8.17781823698983,2302,80.8457711442786,38.0862150639507,3.31,29975.8564814814,44.9076267171956,12.9796305068687,19.3273330175272,7.20037896731406,15.5850307910942,33.7423312883435,56.1256544502617,8897845.19189453,13120.1587193642
32,Medfield/Hampden/Woodberry/Remington,16346,7936,8410,10.7426893429585,77.1197846567967,5.37746237611648,2.78355560993515,0.312002936498225,3.66450507769484,39.0389366607583,5.56099351523308,7.10265508381255,6.7845344426771,66.4076838370243,14.1441331212529,8289,20.4016064257028,16.3257277734067,2.08,65098.5475896168,16.8502491476527,14.253868345135,15.2897980592709,10.6084447941253,42.9976396538158,5.98048473402581,8.45208845208845,62441489.2398071,43152.625699222
33,Midway/Coldstream,9147,4390,4757,91.8005903574942,4.37301847600306,0.634087679020443,1.48682628184104,0.295178747130206,1.41029845851098,17.1721815290305,6.2971466054444,14.6277468022302,8.65857658248606,53.4601508691374,16.9563791407018,3212,69.7142857142857,29.5908014879945,2.98,35273.3828125,38.3834967872844,17.7544808927967,20.5275617179573,6.08725059181603,17.2472100101454,22.6038781163434,49.336165693043,17884471.2862549,22767.8274161904
34,Morrell Park/Violetville,7662,3625,4037,22.056904202558,61.7984860349778,3.70660401983816,2.47977029496215,0.548159749412686,9.41007569825111,60.8474288479289,4.92038632210911,11.837640302793,5.97755155311929,58.8880187940485,18.37640302793,3785,36.322188449848,20.1469687691365,2.34,40950.8967391304,32.9761175750153,15.9522351500306,17.6668707899571,9.39987752602571,24.0048989589712,12.8085390260173,15.3540175019888,67470845.9901123,44412.745130342
35,Mount Washington/Coldspring,4983,2215,2768,25.4264499297611,64.6598434677905,4.79630744531406,0.883002207505518,0,4.23439694962873,52.3345799820846,10.5358217940999,12.7232590808749,3.03030303030303,55.1876379690949,18.5229781256271,2466,16.8695652173913,24.6463780540077,1.93,79992.6163793103,15.6450921560222,9.34419202743249,10.8015430775825,11.2301757393913,52.9789969995713,1.99637023593466,3.79637618636755,56943058.6497192,38539.7661484899
36,North Baltimore/Guilford/Homeland,17745,8159,9586,16.1228515074668,64.1194702733164,9.81684981684981,5.35925612848689,0.726965342349957,3.85460693153,55.7780645457605,4.72245703014933,10.7974077204846,24.3561566638489,45.2240067624683,14.8999718230487,6479,12.3655913978494,24.7587354409317,2.28,90704.5,15.5906821963394,10.6489184692179,8.23627287853577,8.18635607321131,57.3377703826955,3.48289927831816,4.49725776965265,74923987.6937256,42904.2221443544
37,Northwood,17542,8182,9360,84.4943564017785,7.55900125413293,0.786683388439174,2.53106829323908,0.541557405084939,4.08733325732527,31.4282219303087,3.8935127123475,10.9337589784517,27.6821343062364,42.3611902861703,15.1294037167939,5532,43.076923076923,26.0568513119533,2.5,55416.125,21.7018950437317,14.067055393586,18.039358600583,13.2653061224489,32.9263848396501,6.60901791229153,9.75103734439834,52743271.7706299,38889.8945908862
38,Orangeville/East Highlandtown,10753,5551,5202,12.5546359155584,42.8345577978238,3.72919185343625,3.37580210173905,2.27843392541616,35.2273784060262,80.1951623960563,11.3642704361573,14.4889798195852,6.47261229424346,57.3886357295638,10.2855017204501,3357,35.7263513513513,34.7826086956521,2.83,51915.3014084507,24.7943595769682,15.9811985898942,17.6556991774383,8.1081081081081,33.460634547591,13.2367149758454,22.4863600935307,89894372.2113037,47825.8629266244
39,Patterson Park North & East,14176,6849,7327,32.1811512415349,48.7796275395033,2.61004514672686,2.16563205417607,0.246896162528216,14.0166478555304,66.08471175327,8.50028216704289,14.2705981941309,7.44920993227991,62.6340293453724,7.14588036117381,5289,27.4732620320855,28.3065279091769,2.76,69760.0417515274,18.7701040681173,11.2582781456953,13.926206244087,9.29044465468306,46.7549668874172,21.6876670484917,40.9034267912772,14507643.2044067,21786.3746601014
40,Penn North/Reservoir Hill,10569,5022,5547,83.9909168322452,10.9660327372504,0.624467783139369,0.879931876241839,0.662314315450846,2.87633645567224,31.6312001458871,6.85022234837733,16.9741697416974,8.23162077774623,56.940107862617,11.0038792695619,4248,62.1840242669363,22.9519610118356,2.33,34873.3268156424,40.659085634718,13.8083081921559,18.5889997679275,4.85031329774889,22.0932931074495,25.9645464025026,46.64,41059796.6773071,29078.8384985548
41,Pimlico/Arlington/Hilltop,10569,4761,5808,95.2124136625981,2.62087236256977,0.208155927713123,1.15431923550004,0.23654082694673,0.567697984672154,10.3002653195059,5.85675087520106,9.69817390481597,9.6887122717381,52.6445264452644,22.1118365029804,4464,62.1295279912184,22.6842629482071,2.66,30582.4077669902,42.1314741035856,16.4591633466135,15.3137450199203,6.42430278884462,19.6713147410358,19.1190253045923,38.960244648318,30400962.0054932,24725.9340693612
42,Poppleton/The Terraces/Hollins Market,4834,2281,2553,81.5887463798096,14.0877120397186,1.11708729830368,1.73769135291683,0.103434009102192,1.36532892014894,32.5131673209233,7.96441870086884,21.3487794786925,9.04013239553165,53.2478278858088,8.39884153909805,2181,86.3298662704309,32.1855571496891,2.23,20409.009090909,57.2453371592539,14.7776183644189,7.65184122429459,6.83883309421329,13.4863701578192,44.9723756906077,57.4453069865913,9302012.99926758,12334.0275347411
43,Sandtown-Winchester/Harlem Park,13204,6026,7178,96.0769463798848,1.6055740684641,0.242350802787034,0.446834292638594,1.29506210239321,0.333232353832172,7.93083113003811,6.90699787943047,18.6004241139048,9.11087549227506,51.4010905786125,13.980611935777,5541,74.9661705006765,31.7167381974248,2.64,25208.9134328358,49.6995708154506,15.2789699570815,13.62660944206,8.81974248927038,12.5751072961373,35.0450803606428,56.7041653998175,23672092.8682861,20987.1433066354
44,South Baltimore,7274,3681,3593,2.29584822656035,90.0329942260104,2.77701402254605,0.811108056090184,0.10998075336816,3.9730547154248,21.111913276884,6.48886444872147,5.0728622491064,5.44404729172394,76.3816332141875,6.61259279626065,3107,12.2330097087378,15.7685241886099,2.07,109295.240184757,7.56276791181873,5.29699938763012,10.8695652173913,6.70545009185548,69.5652173913043,0.826446280991735,0.118906064209274,46353935.4255981,68440.0258266401
45,Southeastern,6041,2840,3201,29.5811951663631,41.2514484356894,2.00297963913259,1.02632014567124,0.546267174308889,25.5917894388346,79.1700171277711,10.8260221817579,22.3638470451911,5.19781493130276,48.9985101804337,12.6138056613143,2452,41.6040100250626,35.7847533632287,2.64,33777.0222222222,37.8475336322869,18.0269058295964,16.2331838565022,8.02690582959641,19.8654708520179,30.281690140845,52.896725440806,111251478.472229,102291.480547698
